,ProvinceCode,CityCode,DistrictCode,Province,City,District
1,11,1101,110108,北京市,市辖区,海淀区
2,11,1101,110115,北京市,市辖区,大兴区
3,11,1101,110112,北京市,市辖区,通州区
4,11,1101,110101,北京市,市辖区,东城区
5,11,1101,110111,北京市,市辖区,房山区
6,11,1101,110116,北京市,市辖区,怀柔区
7,11,1101,110114,北京市,市辖区,昌平区
8,11,1101,110113,北京市,市辖区,顺义区
9,11,1101,110105,北京市,市辖区,朝阳区
10,11,1101,110109,北京市,市辖区,门头沟区
11,11,1101,110117,北京市,市辖区,平谷区
12,11,1101,110118,北京市,市辖区,密云区
13,11,1101,110106,北京市,市辖区,丰台区
14,11,1101,110119,北京市,市辖区,延庆区
15,11,1101,110107,北京市,市辖区,石景山区
16,11,1101,110102,北京市,市辖区,西城区
17,12,1201,120105,天津市,市辖区,河北区
18,12,1201,120104,天津市,市辖区,南开区
19,12,1201,120103,天津市,市辖区,河西区
20,12,1201,120116,天津市,市辖区,滨海新区
21,12,1201,120111,天津市,市辖区,西青区
22,12,1201,120117,天津市,市辖区,宁河区
23,12,1201,120112,天津市,市辖区,津南区
24,12,1201,120118,天津市,市辖区,静海区
25,12,1201,120102,天津市,市辖区,河东区
26,12,1201,120115,天津市,市辖区,宝坻区
27,12,1201,120101,天津市,市辖区,和平区
28,12,1201,120110,天津市,市辖区,东丽区
29,12,1201,120113,天津市,市辖区,北辰区
30,12,1201,120114,天津市,市辖区,武清区
31,12,1201,120106,天津市,市辖区,红桥区
32,12,1201,120119,天津市,市辖区,蓟州区
33,13,1301,130104,河北省,石家庄市,桥西区
34,13,1301,130128,河北省,石家庄市,深泽县
35,13,1301,130131,河北省,石家庄市,平山县
36,13,1301,130125,河北省,石家庄市,行唐县
37,13,1301,130127,河北省,石家庄市,高邑县
38,13,1301,130129,河北省,石家庄市,赞皇县
39,13,1301,130105,河北省,石家庄市,新华区
40,13,1301,130109,河北省,石家庄市,藁城区
41,13,1301,130132,河北省,石家庄市,元氏县
42,13,1301,130183,河北省,石家庄市,晋州市
43,13,1301,130130,河北省,石家庄市,无极县
44,13,1301,130111,河北省,石家庄市,栾城区
45,13,1301,130184,河北省,石家庄市,新乐市
46,13,1301,130123,河北省,石家庄市,正定县
47,13,1301,130121,河北省,石家庄市,井陉县
48,13,1301,130181,河北省,石家庄市,辛集市
49,13,1301,130110,河北省,石家庄市,鹿泉区
50,13,1301,130102,河北省,石家庄市,长安区
51,13,1301,130107,河北省,石家庄市,井陉矿区
52,13,1301,130100,河北省,石家庄市,石家庄市
53,13,1301,130133,河北省,石家庄市,赵县
54,13,1301,130108,河北省,石家庄市,裕华区
55,13,1301,130126,河北省,石家庄市,灵寿县
56,13,1302,130225,河北省,唐山市,乐亭县
57,13,1302,130224,河北省,唐山市,滦南县
58,13,1302,130208,河北省,唐山市,丰润区
59,13,1302,130284,河北省,唐山市,滦州市
60,13,1302,130207,河北省,唐山市,丰南区
61,13,1302,130204,河北省,唐山市,古冶区
62,13,1302,130227,河北省,唐山市,迁西县
63,13,1302,130203,河北省,唐山市,路北区
64,13,1302,130209,河北省,唐山市,曹妃甸区
65,13,1302,130281,河北省,唐山市,遵化市
66,13,1302,130200,河北省,唐山市,唐山市
67,13,1302,130229,河北省,唐山市,玉田县
68,13,1302,130205,河北省,唐山市,开平区
69,13,1302,130283,河北省,唐山市,迁安市
70,13,1302,130202,河北省,唐山市,路南区
71,13,1303,130322,河北省,秦皇岛市,昌黎县
72,13,1303,130306,河北省,秦皇岛市,抚宁区
73,13,1303,130324,河北省,秦皇岛市,卢龙县
74,13,1303,130300,河北省,秦皇岛市,秦皇岛市
75,13,1303,130321,河北省,秦皇岛市,青龙满族自治县
76,13,1303,130304,河北省,秦皇岛市,北戴河区
77,13,1303,130302,河北省,秦皇岛市,海港区
78,13,1303,130303,河北省,秦皇岛市,山海关区
79,13,1304,130430,河北省,邯郸市,邱县
80,13,1304,130426,河北省,邯郸市,涉县
81,13,1304,130400,河北省,邯郸市,邯郸市
82,13,1304,130427,河北省,邯郸市,磁县
83,13,1304,130407,河北省,邯郸市,肥乡区
84,13,1304,130424,河北省,邯郸市,成安县
85,13,1304,130431,河北省,邯郸市,鸡泽县
86,13,1304,130432,河北省,邯郸市,广平县
87,13,1304,130481,河北省,邯郸市,武安市
88,13,1304,130425,河北省,邯郸市,大名县
89,13,1304,130403,河北省,邯郸市,丛台区
90,13,1304,130406,河北省,邯郸市,峰峰矿区
91,13,1304,130433,河北省,邯郸市,馆陶县
92,13,1304,130435,河北省,邯郸市,曲周县
93,13,1304,130423,河北省,邯郸市,临漳县
94,13,1304,130408,河北省,邯郸市,永年区
95,13,1304,130434,河北省,邯郸市,魏县
96,13,1304,130402,河北省,邯郸市,邯山区
97,13,1304,130404,河北省,邯郸市,复兴区
98,13,1305,130524,河北省,邢台市,柏乡县
99,13,1305,130523,河北省,邢台市,内丘县
100,13,1305,130528,河北省,邢台市,宁晋县
101,13,1305,130582,河北省,邢台市,沙河市
102,13,1305,130525,河北省,邢台市,隆尧县
103,13,1305,130581,河北省,邢台市,南宫市
104,13,1305,130505,河北省,邢台市,任泽区
105,13,1305,130532,河北省,邢台市,平乡县
106,13,1305,130522,河北省,邢台市,临城县
107,13,1305,130531,河北省,邢台市,广宗县
108,13,1305,130535,河北省,邢台市,临西县
109,13,1305,130500,河北省,邢台市,邢台市
110,13,1305,130506,河北省,邢台市,南和区
111,13,1305,130503,河北省,邢台市,信都区
112,13,1305,130529,河北省,邢台市,巨鹿县
113,13,1305,130533,河北省,邢台市,威县
114,13,1305,130530,河北省,邢台市,新河县
115,13,1305,130534,河北省,邢台市,清河县
116,13,1305,130502,河北省,邢台市,襄都区
117,13,1306,130606,河北省,保定市,莲池区
118,13,1306,130633,河北省,保定市,易县
119,13,1306,130600,河北省,保定市,保定市
120,13,1306,130602,河北省,保定市,竞秀区
121,13,1306,130635,河北省,保定市,蠡县
122,13,1306,130632,河北省,保定市,安新县
123,13,1306,130607,河北省,保定市,满城区
124,13,1306,130623,河北省,保定市,涞水县
125,13,1306,130608,河北省,保定市,清苑区
126,13,1306,130634,河北省,保定市,曲阳县
127,13,1306,130684,河北省,保定市,高碑店市
128,13,1306,130629,河北省,保定市,容城县
129,13,1306,130628,河北省,保定市,高阳县
130,13,1306,130626,河北省,保定市,定兴县
131,13,1306,130636,河北省,保定市,顺平县
132,13,1306,130631,河北省,保定市,望都县
133,13,1306,130638,河北省,保定市,雄县
